CategoryId,CategoryName
957,E BEFORE I
958,SNL ALUMNI
959,"""G"" WHIZ"
960,SPORTS MOVIES
961,STATE TREES
962,TEENS IN LITERATURE
963,POLITICAL PARTIES
964,1954
965,BOTTOMS UP!
966,ZOOLOGY
967,VOCABULARY
968,ASTRONOMERS
969,THE CALENDAR
970,NATIONAL PARKS
971,THIRTYSOMETHING
972,USA
973,ART HISTORY
974,THE OSCARS
975,BOOKS FOR YOUR DOG
976,"""BACK"" WORDS"
977,COUNTRIES BY CAPITAL
978,WORDS FOR WORDS
979,PRE-CIVIL WAR AMERICA
980,HIGHWAYS & BYWAYS
981,OSCAR WINNERS' RHYME TIME
982,"""M""USIC"
983,NAME THE JAMES
984,A CAPITAL IDEA
985,ANAGRAMMED COUNTRIES
986,COUNTRIES BY CITIES
987,ALMA MATERS
988,"""G"" MEN"
989,WEIGHTS & MEASURES
990,ANCIENT VIPs
991,ITALIAN LITERATURE
992,"THE ""UN""CATEGORY"
993,ROMAN EMPERORS
994,ACTING THE PART
995,ALPHABETICALLY LAST
996,THE ARTS
997,ADDRESSES
998,THE EMMYS
999,10-LETTER NAMES
1000,FAMOUS QUOTES
1001,WORD PLAY
1002,ANIMALS EN ESPAÑOL
1003,"""A"" IN SCIENCE"
1004,PUBLISHING
1005,IN THE NAVY
1006,MOVIE ADJECTIVES
1007,ANIMAL NAMES
1008,FASHION
1009,PRESIDENTS AT REST
1010,FLAGS
1011,U.S. COINS
1012,DRUGS
1013,PENN. NAMES
1014,REALLY BAD DATES
1015,HISTORIC QUOTATIONS
1016,COMPUTING 101
1017,COLORFUL RHYME TIME
1018,THERE ARE PLACES
1019,U.S. GOVERNMENT
1020,LESSER-KNOWN NAMES
1021,U.S. BODIES OF WATER
1022,"""P""s & ""Q""s"
1023,SINNERS
1024,CHEMISTRY
1025,LIFE
1026,INTERNATIONAL FOOD & DRINK
1027,ROCK ME
1028,PRESIDENTIAL NICKNAMES
1029,MONEY TALKS
1030,STAR TREK
1031,-OLOGIES
1032,CLASSIC LIT
1033,RUSSIAN WORDS & PHRASES
1034,AT THE BUFFET
1035,THE NEW YORK TIMES COLUMNISTS
1036,BROADWAY MUSICALS
1037,COLLECTIBLES
1038,WOMEN AUTHORS
1039,DISNEY FILM VOICES
1040,ABBREVIATIONS
1041,PUT 'EM IN ORDER
1042,ROBERT LOUIS STEVENSON
1043,"""AA"""
1044,MISSING BODY PARTS
1045,TV BEFORE & AFTER
1046,AFRICAN COUNTRIES
1047,GEMS & JEWELRY
